driver_age,gender,annual_mileage,territory,prior_claims_3yrs,current_claim_count,age_group,total_claims_3yrs,mileage_category
74,F,16344,suburban,0,0,60+,0,medium
18,F,12048,suburban,0,0,16-25,0,medium
45,M,18111,urban,0,0,41-60,0,medium
56,F,10357,rural,0,0,41-60,0,medium
37,F,16890,suburban,1,0,26-40,1,medium
28,F,8292,urban,0,0,26-40,0,low
76,F,25776,suburban,0,0,60+,0,high
100,M,21337,urban,0,0,60+,0,high
32,F,11266,urban,0,0,26-40,0,medium
35,F,18286,rural,1,0,26-40,1,medium
33,F,16862,urban,0,0,26-40,0,medium
31,M,10180,urban,0,0,26-40,0,medium
66,F,27579,suburban,0,0,60+,0,high
49,M,21685,suburban,0,0,41-60,0,high
66,F,12385,urban,0,1,60+,1,medium
74,M,23421,rural,0,0,60+,0,high
62,F,20386,rural,0,0,60+,0,high
54,M,17919,suburban,0,0,41-60,0,medium
74,F,19253,suburban,0,0,60+,0,medium
59,M,19496,suburban,1,0,41-60,1,medium
62,M,18693,suburban,1,1,60+,2,medium
55,F,12793,urban,1,0,41-60,1,medium
30,F,10170,urban,1,0,26-40,1,medium
28,F,26995,rural,0,0,26-40,0,high
77,F,7595,suburban,1,0,60+,1,low
73,F,19468,rural,0,0,60+,0,medium
18,F,10225,urban,1,0,16-25,1,medium
24,F,27156,rural,1,0,16-25,1,high
42,M,11968,urban,1,0,41-60,1,medium
77,F,13741,urban,0,0,60+,0,medium
32,F,19598,rural,0,1,26-40,1,medium
25,M,17182,urban,0,0,16-25,0,medium
19,F,14038,urban,1,0,16-25,1,medium
88,F,18324,urban,0,0,60+,0,medium
76,M,20583,urban,1,0,60+,1,high
35,M,15553,suburban,1,0,26-40,1,medium
41,F,9858,suburban,0,0,41-60,0,low
17,F,23831,rural,1,1,16-25,2,high
99,F,8033,urban,0,0,60+,0,low
74,M,19816,suburban,1,0,60+,1,medium
67,M,28512,suburban,0,0,60+,0,high
71,F,17345,suburban,1,0,60+,1,medium
48,F,18246,suburban,0,0,41-60,0,medium
34,F,15488,urban,0,0,26-40,0,medium
20,F,23616,rural,0,0,16-25,0,high
34,M,10216,rural,0,0,26-40,0,medium
57,F,16462,suburban,2,0,41-60,2,medium
65,M,12025,urban,0,0,60+,0,medium
54,F,8427,urban,1,0,41-60,1,low
62,F,10500,urban,0,0,60+,0,medium
19,F,17360,urban,0,0,16-25,0,medium
63,F,21449,urban,1,0,60+,1,high
51,F,19479,rural,0,0,41-60,0,medium
35,M,20184,urban,0,0,26-40,0,high
18,M,16103,suburban,1,0,16-25,1,medium
87,F,16651,urban,0,0,60+,0,medium
45,M,13744,suburban,0,0,41-60,0,medium
39,F,22086,rural,0,0,26-40,0,high
34,F,18892,suburban,0,0,26-40,0,medium
23,F,25454,rural,1,0,16-25,1,high
36,M,7887,suburban,2,0,26-40,2,low
45,M,25500,suburban,0,0,41-60,0,high
75,M,11445,urban,0,0,60+,0,medium
62,M,14502,suburban,0,0,60+,0,medium
76,M,29493,rural,0,0,60+,0,high
42,F,13589,suburban,1,0,41-60,1,medium
64,M,18017,urban,0,0,60+,0,medium
23,F,18471,urban,0,0,16-25,0,medium
69,F,19237,suburban,0,0,60+,0,medium
54,F,28772,suburban,1,0,41-60,1,high
75,F,13528,rural,1,0,60+,1,medium
76,F,15206,suburban,0,0,60+,0,medium
34,F,18664,urban,0,0,26-40,0,medium
49,M,16560,urban,0,0,41-60,0,medium
44,M,17681,urban,1,0,41-60,1,medium
76,F,19419,urban,1,0,60+,1,medium
43,F,15616,urban,1,0,41-60,1,medium
34,F,20116,rural,0,0,26-40,0,high
51,M,18908,suburban,0,0,41-60,0,medium
44,F,19402,suburban,0,0,41-60,0,medium
68,M,14880,suburban,0,0,60+,0,medium
19,M,14282,urban,1,1,16-25,2,medium
39,F,16624,suburban,0,0,26-40,0,medium
68,M,8053,urban,0,0,60+,0,low
78,F,20057,rural,1,0,60+,1,high
56,F,20090,urban,2,0,41-60,2,high
33,M,28133,suburban,0,0,26-40,0,high
37,M,11182,urban,0,0,26-40,0,medium
22,M,7949,urban,0,0,16-25,0,low
36,F,13028,suburban,0,0,26-40,0,medium
37,M,15577,urban,1,0,26-40,1,medium
64,F,5924,urban,0,0,60+,0,low
60,M,19466,urban,0,1,41-60,1,medium
74,F,21986,suburban,0,0,60+,0,high
36,F,21279,suburban,0,1,26-40,1,high
53,M,16350,urban,2,0,41-60,2,medium
26,M,18227,suburban,0,0,26-40,0,medium
76,F,11828,rural,0,0,60+,0,medium
24,M,18536,suburban,0,0,16-25,0,medium
40,M,21153,rural,0,0,26-40,0,high
30,M,25455,rural,0,0,26-40,0,high
56,M,14978,urban,0,0,41-60,0,medium
39,F,11426,suburban,0,0,26-40,0,medium
41,M,8763,urban,0,0,41-60,0,low
39,M,12622,suburban,0,0,26-40,0,medium
49,F,23711,rural,0,0,41-60,0,high
17,M,14259,suburban,0,1,16-25,1,medium
42,F,14285,urban,1,1,41-60,2,medium
72,M,11877,urban,0,0,60+,0,medium
49,M,24989,suburban,0,0,41-60,0,high
62,F,16450,urban,0,0,60+,0,medium
87,F,10597,suburban,0,0,60+,0,medium
62,M,19058,suburban,0,0,60+,0,medium
91,M,17912,urban,0,2,60+,2,medium
42,F,20427,rural,2,0,41-60,2,high
32,M,10856,urban,0,0,26-40,0,medium
64,M,16990,suburban,1,1,60+,2,medium
37,M,19667,rural,0,0,26-40,0,medium
66,F,10849,suburban,0,0,60+,0,medium
59,F,17641,urban,0,0,41-60,0,medium
78,F,16784,suburban,1,0,60+,1,medium
95,F,15536,suburban,0,0,60+,0,medium
86,F,8810,urban,0,0,60+,0,low
22,M,13101,urban,0,0,16-25,0,medium
89,M,14237,urban,0,0,60+,0,medium
26,M,18918,suburban,0,0,26-40,0,medium
17,M,24437,rural,0,0,16-25,0,high
50,M,7548,urban,0,0,41-60,0,low
38,M,20440,rural,1,1,26-40,2,high
59,M,11059,urban,0,0,41-60,0,medium
58,M,10497,urban,0,0,41-60,0,medium
27,M,12987,urban,0,0,26-40,0,medium
61,F,17146,rural,0,0,60+,0,medium
32,F,11486,urban,0,0,26-40,0,medium
48,F,17040,urban,1,0,41-60,1,medium
44,F,14457,urban,0,0,41-60,0,medium
45,F,10540,urban,0,0,41-60,0,medium
35,M,22305,suburban,0,0,26-40,0,high
56,M,18636,suburban,0,0,41-60,0,medium
33,F,26822,rural,1,1,26-40,2,high
35,F,24200,rural,0,0,26-40,0,high
31,F,13792,urban,0,0,26-40,0,medium
44,F,20914,suburban,0,1,41-60,1,high
58,F,17174,rural,0,0,41-60,0,medium
25,M,20650,rural,0,0,16-25,0,high
17,M,19724,suburban,0,0,16-25,0,medium
52,F,15599,rural,0,0,41-60,0,medium
55,M,12123,suburban,0,0,41-60,0,medium
