policy_id,driver_age,gender,vehicle_age,annual_mileage,territory,prior_claims_3yrs,current_claim_count
1,74,F,5,16344,suburban,0,0
2,18,F,15,12048,suburban,0,0
3,45,M,1,18111,urban,0,0
4,56,F,1,10357,rural,0,0
5,37,F,10,16890,suburban,1,0
6,28,F,8,8292,urban,0,0
7,76,F,0,25776,suburban,0,0
8,100,M,17,21337,urban,0,0
9,32,F,4,11266,urban,0,0
10,35,F,5,18286,rural,1,0
11,33,F,18,16862,urban,0,0
12,31,M,17,10180,urban,0,0
13,66,F,1,27579,suburban,0,0
14,49,M,3,21685,suburban,0,0
15,66,F,5,12385,urban,0,1
16,74,M,0,23421,rural,0,0
17,62,F,7,20386,rural,0,0
18,54,M,7,17919,suburban,0,0
19,74,F,2,19253,suburban,0,0
20,59,M,19,19496,suburban,1,0
21,62,M,0,18693,suburban,1,1
22,55,F,12,12793,urban,1,0
23,30,F,3,10170,urban,1,0
24,28,F,9,26995,rural,0,0
25,77,F,0,7595,suburban,1,0
26,73,F,13,19468,rural,0,0
27,18,F,0,10225,urban,1,0
28,24,F,0,27156,rural,1,0
29,42,M,2,11968,urban,1,0
30,77,F,10,13741,urban,0,0
31,32,F,6,19598,rural,0,1
32,25,M,11,17182,urban,0,0
33,19,F,4,14038,urban,1,0
34,88,F,6,18324,urban,0,0
35,76,M,1,20583,urban,1,0
36,35,M,2,15553,suburban,1,0
37,41,F,4,9858,suburban,0,0
38,17,F,0,23831,rural,1,1
39,99,F,3,8033,urban,0,0
40,74,M,2,19816,suburban,1,0
41,67,M,1,28512,suburban,0,0
42,71,F,17,17345,suburban,1,0
43,48,F,0,18246,suburban,0,0
44,34,F,11,15488,urban,0,0
45,20,F,8,23616,rural,0,0
46,34,M,2,10216,rural,0,0
47,57,F,5,16462,suburban,2,0
48,65,M,29,12025,urban,0,0
49,54,F,7,8427,urban,1,0
50,62,F,13,10500,urban,0,0
51,19,F,8,17360,urban,0,0
52,63,F,2,21449,urban,1,0
53,51,F,2,19479,rural,0,0
54,35,M,5,20184,urban,0,0
55,18,M,15,16103,suburban,1,0
56,87,F,10,16651,urban,0,0
57,45,M,19,13744,suburban,0,0
58,39,F,6,22086,rural,0,0
59,34,F,5,18892,suburban,0,0
60,23,F,12,25454,rural,1,0
61,36,M,5,7887,suburban,2,0
62,45,M,4,25500,suburban,0,0
63,75,M,5,11445,urban,0,0
64,62,M,5,14502,suburban,0,0
65,76,M,3,29493,rural,0,0
66,42,F,7,13589,suburban,1,0
67,64,M,13,18017,urban,0,0
68,23,F,25,18471,urban,0,0
69,69,F,20,19237,suburban,0,0
70,54,F,8,28772,suburban,1,0
71,75,F,5,13528,rural,1,0
72,76,F,1,15206,suburban,0,0
73,34,F,12,18664,urban,0,0
74,49,M,18,16560,urban,0,0
75,44,M,0,17681,urban,1,0
76,76,F,3,19419,urban,1,0
77,43,F,5,15616,urban,1,0
78,34,F,3,20116,rural,0,0
79,51,M,4,18908,suburban,0,0
80,44,F,11,19402,suburban,0,0
81,68,M,7,14880,suburban,0,0
82,19,M,1,14282,urban,1,1
83,39,F,4,16624,suburban,0,0
84,68,M,4,8053,urban,0,0
85,78,F,5,20057,rural,1,0
86,56,F,10,20090,urban,2,0
87,33,M,9,28133,suburban,0,0
88,37,M,19,11182,urban,0,0
89,22,M,2,7949,urban,0,0
90,36,F,30,13028,suburban,0,0
91,37,M,1,15577,urban,1,0
92,64,F,11,5924,urban,0,0
93,60,M,2,19466,urban,0,1
94,74,F,16,21986,suburban,0,0
95,36,F,4,21279,suburban,0,1
96,53,M,0,16350,urban,2,0
97,26,M,9,18227,suburban,0,0
98,76,F,11,11828,rural,0,0
99,24,M,7,18536,suburban,0,0
100,40,M,8,21153,rural,0,0
101,30,M,11,25455,rural,0,0
102,56,M,5,14978,urban,0,0
103,39,F,4,11426,suburban,0,0
104,41,M,15,8763,urban,0,0
105,39,M,11,12622,suburban,0,0
106,49,F,2,23711,rural,0,0
107,17,M,3,14259,suburban,0,1
108,42,F,23,14285,urban,1,1
109,72,M,0,11877,urban,0,0
110,49,M,15,24989,suburban,0,0
111,62,F,10,16450,urban,0,0
112,87,F,8,10597,suburban,0,0
113,62,M,7,19058,suburban,0,0
114,91,M,10,17912,urban,0,2
115,42,F,10,20427,rural,2,0
116,32,M,3,10856,urban,0,0
117,64,M,0,16990,suburban,1,1
118,37,M,11,19667,rural,0,0
119,66,F,1,10849,suburban,0,0
120,59,F,7,17641,urban,0,0
121,78,F,4,16784,suburban,1,0
122,95,F,7,15536,suburban,0,0
123,86,F,10,8810,urban,0,0
124,22,M,6,13101,urban,0,0
125,89,M,2,14237,urban,0,0
126,26,M,10,18918,suburban,0,0
127,17,M,7,24437,rural,0,0
128,50,M,3,7548,urban,0,0
129,38,M,6,20440,rural,1,1
130,59,M,19,11059,urban,0,0
131,58,M,9,10497,urban,0,0
132,27,M,0,12987,urban,0,0
133,61,F,8,17146,rural,0,0
134,32,F,4,11486,urban,0,0
135,48,F,13,17040,urban,1,0
136,44,F,9,14457,urban,0,0
137,45,F,10,10540,urban,0,0
138,35,M,1,22305,suburban,0,0
139,56,M,8,18636,suburban,0,0
140,33,F,6,26822,rural,1,1
141,35,F,0,24200,rural,0,0
142,31,F,21,13792,urban,0,0
143,44,F,1,20914,suburban,0,1
144,58,F,18,17174,rural,0,0
145,25,M,10,20650,rural,0,0
146,17,M,12,19724,suburban,0,0
147,52,F,5,15599,rural,0,0
148,55,M,4,12123,suburban,0,0
149,54,M,3,21602,rural,0,0
150,36,F,1,14497,urban,1,0
151,48,M,2,16978,suburban,0,0
152,73,M,5,11663,urban,0,0
153,68,M,5,15250,suburban,0,0
154,66,M,3,12062,suburban,0,0
155,62,F,5,17133,urban,0,0
156,77,M,6,16565,suburban,0,0
157,16,M,4,19354,rural,0,0
158,67,M,16,14702,suburban,0,0
159,65,F,1,17876,urban,0,0
160,68,F,3,21305,rural,0,0
161,29,M,0,22285,suburban,0,0
162,65,F,14,12035,urban,0,0
163,52,F,10,18990,suburban,0,0
164,57,M,1,16546,urban,0,0
165,32,F,16,8017,urban,0,0
166,21,F,4,20237,suburban,0,0
167,61,M,7,38178,suburban,0,0
168,39,F,11,13689,suburban,1,0
169,71,F,13,18779,urban,1,0
170,66,F,9,27115,suburban,1,0
171,69,F,4,16132,urban,0,0
172,66,F,3,16160,urban,0,0
173,63,F,4,13116,urban,0,0
174,24,M,1,18982,suburban,2,0
175,73,M,4,17331,suburban,1,0
176,61,F,2,12729,urban,0,1
177,46,F,5,21130,urban,0,0
178,41,F,21,11790,urban,0,0
179,37,M,8,18346,urban,0,0
180,43,F,5,17590,suburban,1,0
181,72,F,5,18387,suburban,0,0
182,78,M,1,30813,rural,0,0
183,40,F,10,18338,urban,0,0
184,35,F,7,16122,suburban,0,0
185,59,F,5,17969,urban,0,0
186,23,M,4,20471,rural,1,0
187,36,F,10,21838,suburban,1,0
188,52,M,16,7992,urban,1,0
189,42,F,4,28063,rural,0,0
190,49,F,0,16088,suburban,1,0
191,66,F,3,13131,urban,0,0
192,74,F,9,10117,suburban,0,0
193,43,F,1,25223,rural,1,0
194,45,M,15,15189,suburban,1,0
195,60,M,27,26379,rural,0,0
196,54,M,7,15175,urban,0,0
197,64,F,5,8280,urban,0,0
198,35,M,0,28041,suburban,0,0
199,71,F,0,20502,suburban,1,1
200,39,F,17,17943,urban,0,0
201,75,M,4,9434,suburban,0,0
202,97,F,8,9666,suburban,0,0
203,52,M,10,3467,suburban,0,1
204,23,M,12,27711,rural,0,0
205,40,M,25,12830,urban,1,0
206,50,M,1,16411,urban,0,0
207,41,M,9,12510,urban,0,1
208,71,M,1,21941,rural,0,0
209,48,F,8,16213,urban,1,0
210,60,F,8,17928,suburban,0,0
