,rate_ratio,ci_lower,ci_upper,p_value
Intercept,0.1255542788902332,0.08888182478048867,0.17735771049456392,5.339918197410086e-32
C(age_group)[T.26-40],0.5090650456637953,0.41559056979196307,0.623563765766885,6.8977580935948e-11
C(age_group)[T.41-60],0.5463351510343093,0.4540183318656537,0.6574230076331014,1.5409356804011324e-10
C(age_group)[T.60+],0.6517031654758128,0.5462274157927495,0.7775461348361565,2.00252176355231e-06
C(gender)[T.M],1.0375162941567357,0.9120132002942636,1.1802900005103107,0.5755653213291315
C(territory)[T.suburban],1.0110160955329577,0.8208759757152749,1.2451985143505357,0.9179090147835776
C(territory)[T.urban],1.2003246149919407,0.967919028551949,1.4885327582732015,0.09631422422063646
C(mileage_category)[T.medium],1.1208468484369407,0.8609297028110583,1.4592337255283805,0.396699151301081
C(mileage_category)[T.high],1.26822295965003,0.9493888211870957,1.6941314659386717,0.10774590855092958
C(mileage_category)[T.very_high],1.0165681085794196,0.5543887626788482,1.8640542322452938,0.957637573531776
